assessor_id,prompt_slug,prompt,category,audio_clip,descriptor,model,is_hidden_ref,score,time_spent_ms
0,Make_the_voice_sound_less_nasal,Make the voice sound less nasal.,Audiobook,174-168635-0002.wav,Nasal,FX,False,58.0,0
0,Make_the_voice_sound_less_nasal,Make the voice sound less nasal.,Audiobook,174-168635-0002.wav,Nasal,HiddenRef,True,40.0,0
0,Make_the_voice_sound_less_nasal,Make the voice sound less nasal.,Audiobook,174-168635-0002.wav,Nasal,Voice,False,50.0,0
0,Make_the_voice_sound_less_nasal,Make the voice sound less nasal.,Audiobook,174-168635-0002.wav,Nasal,Voice+FX,False,40.0,0
0,Make_the_voice_sound_less_nasal,Make the voice sound less nasal.,Audiobook,174-168635-0002.wav,Nasal,NoAudio,False,2.0,0
0,Make_the_voice_sound_less_nasal,Make the voice sound less nasal.,Audiobook,174-168635-0002.wav,Nasal,Tonmeister_1,False,41.0,0
0,Make_the_voice_sound_less_nasal,Make the voice sound less nasal.,Audiobook,174-168635-0002.wav,Nasal,ICL,False,2.0,0
0,Balance_the_music_so_it_doesnt_overpower_the_dialogue,Balance the music so it doesn't overpower the dialogue.,Movie,HorrorTrain1.wav,Movie Specific,FX,False,80.0,0
0,Balance_the_music_so_it_doesnt_overpower_the_dialogue,Balance the music so it doesn't overpower the dialogue.,Movie,HorrorTrain1.wav,Movie Specific,Tonmeister_1,False,20.0,0
0,Balance_the_music_so_it_doesnt_overpower_the_dialogue,Balance the music so it doesn't overpower the dialogue.,Movie,HorrorTrain1.wav,Movie Specific,HiddenRef,True,20.0,0
0,Balance_the_music_so_it_doesnt_overpower_the_dialogue,Balance the music so it doesn't overpower the dialogue.,Movie,HorrorTrain1.wav,Movie Specific,ICL,False,60.0,0
0,Balance_the_music_so_it_doesnt_overpower_the_dialogue,Balance the music so it doesn't overpower the dialogue.,Movie,HorrorTrain1.wav,Movie Specific,NoAudio,False,60.0,0
0,Balance_the_music_so_it_doesnt_overpower_the_dialogue,Balance the music so it doesn't overpower the dialogue.,Movie,HorrorTrain1.wav,Movie Specific,Voice+FX,False,2.0,0
0,Balance_the_music_so_it_doesnt_overpower_the_dialogue,Balance the music so it doesn't overpower the dialogue.,Movie,HorrorTrain1.wav,Movie Specific,Voice,False,40.0,0
0,Make_the_dialogue_easier_to_hear_over_the_music,Make the dialogue easier to hear over the music.,Movie,Tearsofsteel6.wav,Movie Specific,ICL,False,60.0,0
0,Make_the_dialogue_easier_to_hear_over_the_music,Make the dialogue easier to hear over the music.,Movie,Tearsofsteel6.wav,Movie Specific,NoAudio,False,60.0,0
0,Make_the_dialogue_easier_to_hear_over_the_music,Make the dialogue easier to hear over the music.,Movie,Tearsofsteel6.wav,Movie Specific,FX,False,80.0,0
0,Make_the_dialogue_easier_to_hear_over_the_music,Make the dialogue easier to hear over the music.,Movie,Tearsofsteel6.wav,Movie Specific,Voice+FX,False,60.0,0
0,Make_the_dialogue_easier_to_hear_over_the_music,Make the dialogue easier to hear over the music.,Movie,Tearsofsteel6.wav,Movie Specific,HiddenRef,True,80.0,0
0,Make_the_dialogue_easier_to_hear_over_the_music,Make the dialogue easier to hear over the music.,Movie,Tearsofsteel6.wav,Movie Specific,Tonmeister_1,False,60.0,0
0,Make_the_dialogue_easier_to_hear_over_the_music,Make the dialogue easier to hear over the music.,Movie,Tearsofsteel6.wav,Movie Specific,Voice,False,60.0,0
0,Ensure_the_voice_can_be_heard_clearly,Ensure the voice can be heard clearly.,Music,Balon Rocop - Mardi Gras Nights at Universal.wav,Clear,FX,False,1.0,0
0,Ensure_the_voice_can_be_heard_clearly,Ensure the voice can be heard clearly.,Music,Balon Rocop - Mardi Gras Nights at Universal.wav,Clear,HiddenRef,True,40.0,0
0,Ensure_the_voice_can_be_heard_clearly,Ensure the voice can be heard clearly.,Music,Balon Rocop - Mardi Gras Nights at Universal.wav,Clear,Voice,False,60.0,0
0,Ensure_the_voice_can_be_heard_clearly,Ensure the voice can be heard clearly.,Music,Balon Rocop - Mardi Gras Nights at Universal.wav,Clear,NoAudio,False,40.0,0
0,Ensure_the_voice_can_be_heard_clearly,Ensure the voice can be heard clearly.,Music,Balon Rocop - Mardi Gras Nights at Universal.wav,Clear,Voice+FX,False,40.0,0
0,Ensure_the_voice_can_be_heard_clearly,Ensure the voice can be heard clearly.,Music,Balon Rocop - Mardi Gras Nights at Universal.wav,Clear,Tonmeister_1,False,20.0,0
0,Ensure_the_voice_can_be_heard_clearly,Ensure the voice can be heard clearly.,Music,Balon Rocop - Mardi Gras Nights at Universal.wav,Clear,ICL,False,20.0,0
0,Add_more_warmth_to_the_overall_sound,Add more warmth to the overall sound.,Instrumental,Squire Tuck - Until The Bitter End.wav,Warm,HiddenRef,True,40.0,0
0,Add_more_warmth_to_the_overall_sound,Add more warmth to the overall sound.,Instrumental,Squire Tuck - Until The Bitter End.wav,Warm,Tonmeister_1,False,40.0,0
0,Add_more_warmth_to_the_overall_sound,Add more warmth to the overall sound.,Instrumental,Squire Tuck - Until The Bitter End.wav,Warm,NoAudio,False,1.0,0
0,Add_more_warmth_to_the_overall_sound,Add more warmth to the overall sound.,Instrumental,Squire Tuck - Until The Bitter End.wav,Warm,ICL,False,40.0,0
0,Add_more_warmth_to_the_overall_sound,Add more warmth to the overall sound.,Instrumental,Squire Tuck - Until The Bitter End.wav,Warm,Voice+FX,False,20.0,0
0,Add_more_warmth_to_the_overall_sound,Add more warmth to the overall sound.,Instrumental,Squire Tuck - Until The Bitter End.wav,Warm,FX,False,20.0,0
0,Add_more_warmth_to_the_overall_sound,Add more warmth to the overall sound.,Instrumental,Squire Tuck - Until The Bitter End.wav,Warm,Voice,False,20.0,0
0,Enhance_the_clarity_of_the_individual_instruments,Enhance the clarity of the individual instruments.,Instrumental,Raul Diaz Palomar - Maqbara (Créditos).wav,Clear,NoAudio,False,40.0,0
0,Enhance_the_clarity_of_the_individual_instruments,Enhance the clarity of the individual instruments.,Instrumental,Raul Diaz Palomar - Maqbara (Créditos).wav,Clear,Voice+FX,False,60.0,0
0,Enhance_the_clarity_of_the_individual_instruments,Enhance the clarity of the individual instruments.,Instrumental,Raul Diaz Palomar - Maqbara (Créditos).wav,Clear,Voice,False,80.0,0
